"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"11521","Native","Native 1",38,"disamb","rp","disamb rp",6,0,328,328,"Unambiguous","Consistent",328
"11523","Native","Native 1",39,"disamb","rp","disamb rp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"11525","Native","Native 1",26,"disamb","rp","disamb rp",6,0,586,586,"Unambiguous","Consistent",586
"11527","Native","Native 1",34,"disamb","rp","disamb rp",6,1,0,NA,"Unambiguous","Consistent",NA
"11529","Native","Native 1",46,"disamb","rp","disamb rp",6,1,0,NA,"Unambiguous","Consistent",NA
"11531","Native","Native 1",29,"disamb","rp","disamb rp",5,1,0,NA,"Ambiguous","Consistent",NA
"11533","Native","Native 1",36,"disamb","rp","disamb rp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"11535","Native","Native 1",30,"disamb","rp","disamb rp",6,1,0,NA,"Unambiguous","Consistent",NA
"11537","Native","Native 1",40,"disamb","rp","disamb rp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"11539","Native","Native 1",33,"disamb","rp","disamb rp",5,1,0,NA,"Ambiguous","Consistent",NA
"11541","Native","Native 1",43,"disamb","rp","disamb rp",7,0,708,708,"Ambiguous","Inconsistent",708
"11543","Native","Native 1",28,"disamb","rp","disamb rp",8,0,375,375,"Unambiguous","Inconsistent",375
"11545","Native","Native 1",31,"disamb","rp","disamb rp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"11547","Native","Native 1",45,"disamb","rp","disamb rp",5,0,298,298,"Ambiguous","Consistent",298
"11549","Native","Native 1",25,"disamb","rp","disamb rp",5,1,0,NA,"Ambiguous","Consistent",NA
"11551","Native","Native 1",41,"disamb","rp","disamb rp",5,0,252,252,"Ambiguous","Consistent",252
"11553","Native","Native 1",42,"disamb","rp","disamb rp",6,0,853,853,"Unambiguous","Consistent",853
"11555","Native","Native 1",37,"disamb","rp","disamb rp",5,0,1039,1039,"Ambiguous","Consistent",1039
"11557","Native","Native 1",32,"disamb","rp","disamb rp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"11559","Native","Native 1",48,"disamb","rp","disamb rp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"11561","Native","Native 1",47,"disamb","rp","disamb rp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"11563","Native","Native 1",44,"disamb","rp","disamb rp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"11565","Native","Native 1",27,"disamb","rp","disamb rp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"11567","Native","Native 1",35,"disamb","rp","disamb rp",7,0,201,201,"Ambiguous","Inconsistent",201
"11569","Native","Native 2",46,"disamb","rp","disamb rp",7,0,159,159,"Ambiguous","Inconsistent",159
"11571","Native","Native 2",25,"disamb","rp","disamb rp",6,1,0,NA,"Unambiguous","Consistent",NA
"11573","Native","Native 2",39,"disamb","rp","disamb rp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"11575","Native","Native 2",38,"disamb","rp","disamb rp",7,0,1007,1007,"Ambiguous","Inconsistent",1007
"11577","Native","Native 2",30,"disamb","rp","disamb rp",7,0,576,576,"Ambiguous","Inconsistent",576
"11579","Native","Native 2",27,"disamb","rp","disamb rp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"11581","Native","Native 2",29,"disamb","rp","disamb rp",6,0,675,675,"Unambiguous","Consistent",675
"11583","Native","Native 2",33,"disamb","rp","disamb rp",6,1,0,NA,"Unambiguous","Consistent",NA
"11585","Native","Native 2",32,"disamb","rp","disamb rp",5,0,662,662,"Ambiguous","Consistent",662
"11587","Native","Native 2",43,"disamb","rp","disamb rp",8,0,653,653,"Unambiguous","Inconsistent",653
"11589","Native","Native 2",45,"disamb","rp","disamb rp",6,1,0,NA,"Unambiguous","Consistent",NA
"11591","Native","Native 2",48,"disamb","rp","disamb rp",5,1,0,NA,"Ambiguous","Consistent",NA
"11593","Native","Native 2",47,"disamb","rp","disamb rp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"11595","Native","Native 2",31,"disamb","rp","disamb rp",8,0,407,407,"Unambiguous","Inconsistent",407
"11597","Native","Native 2",26,"disamb","rp","disamb rp",7,0,183,183,"Ambiguous","Inconsistent",183
"11599","Native","Native 2",42,"disamb","rp","disamb rp",7,0,176,176,"Ambiguous","Inconsistent",176
"11601","Native","Native 2",36,"disamb","rp","disamb rp",5,0,194,194,"Ambiguous","Consistent",194
"11603","Native","Native 2",35,"disamb","rp","disamb rp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"11605","Native","Native 2",44,"disamb","rp","disamb rp",5,0,514,514,"Ambiguous","Consistent",514
"11607","Native","Native 2",41,"disamb","rp","disamb rp",6,0,315,315,"Unambiguous","Consistent",315
"11609","Native","Native 2",37,"disamb","rp","disamb rp",6,0,209,209,"Unambiguous","Consistent",209
"11611","Native","Native 2",40,"disamb","rp","disamb rp",5,1,0,NA,"Ambiguous","Consistent",NA
"11613","Native","Native 2",28,"disamb","rp","disamb rp",5,1,0,NA,"Ambiguous","Consistent",NA
"11615","Native","Native 2",34,"disamb","rp","disamb rp",7,0,301,301,"Ambiguous","Inconsistent",301
"11618","Native","Native 3",34,"disamb","rp","disamb rp",8,0,563,563,"Unambiguous","Inconsistent",563
"11620","Native","Native 3",30,"disamb","rp","disamb rp",8,0,562,562,"Unambiguous","Inconsistent",562
