"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"30721","Native","Native 1",38,"spillover2","tt","spillover2 tt",6,0,527,527,"Unambiguous","Consistent",527
"30723","Native","Native 1",39,"spillover2","tt","spillover2 tt",7,0,532,532,"Ambiguous","Inconsistent",532
"30725","Native","Native 1",26,"spillover2","tt","spillover2 tt",6,0,185,185,"Unambiguous","Consistent",185
"30727","Native","Native 1",34,"spillover2","tt","spillover2 tt",6,0,190,190,"Unambiguous","Consistent",190
"30729","Native","Native 1",46,"spillover2","tt","spillover2 tt",6,0,1303,1303,"Unambiguous","Consistent",1303
"30731","Native","Native 1",29,"spillover2","tt","spillover2 tt",5,0,453,453,"Ambiguous","Consistent",453
"30733","Native","Native 1",36,"spillover2","tt","spillover2 tt",8,0,758,758,"Unambiguous","Inconsistent",758
"30735","Native","Native 1",30,"spillover2","tt","spillover2 tt",6,0,185,185,"Unambiguous","Consistent",185
"30737","Native","Native 1",40,"spillover2","tt","spillover2 tt",8,1,0,NA,"Unambiguous","Inconsistent",NA
"30739","Native","Native 1",33,"spillover2","tt","spillover2 tt",5,0,464,464,"Ambiguous","Consistent",464
"30741","Native","Native 1",43,"spillover2","tt","spillover2 tt",7,1,0,NA,"Ambiguous","Inconsistent",NA
"30743","Native","Native 1",28,"spillover2","tt","spillover2 tt",8,0,387,387,"Unambiguous","Inconsistent",387
"30745","Native","Native 1",31,"spillover2","tt","spillover2 tt",7,0,289,289,"Ambiguous","Inconsistent",289
"30747","Native","Native 1",45,"spillover2","tt","spillover2 tt",5,0,149,149,"Ambiguous","Consistent",149
"30749","Native","Native 1",25,"spillover2","tt","spillover2 tt",5,0,643,643,"Ambiguous","Consistent",643
"30751","Native","Native 1",41,"spillover2","tt","spillover2 tt",5,0,1255,1255,"Ambiguous","Consistent",1255
"30753","Native","Native 1",42,"spillover2","tt","spillover2 tt",6,0,362,362,"Unambiguous","Consistent",362
"30755","Native","Native 1",37,"spillover2","tt","spillover2 tt",5,0,460,460,"Ambiguous","Consistent",460
"30757","Native","Native 1",32,"spillover2","tt","spillover2 tt",8,0,877,877,"Unambiguous","Inconsistent",877
"30759","Native","Native 1",48,"spillover2","tt","spillover2 tt",8,0,278,278,"Unambiguous","Inconsistent",278
"30761","Native","Native 1",47,"spillover2","tt","spillover2 tt",7,0,450,450,"Ambiguous","Inconsistent",450
"30763","Native","Native 1",44,"spillover2","tt","spillover2 tt",8,0,182,182,"Unambiguous","Inconsistent",182
"30765","Native","Native 1",27,"spillover2","tt","spillover2 tt",7,0,633,633,"Ambiguous","Inconsistent",633
"30767","Native","Native 1",35,"spillover2","tt","spillover2 tt",7,0,204,204,"Ambiguous","Inconsistent",204
