"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"1","Native","Native 1",38,"disamb","fp","disamb fp",6,0,328,328,"Unambiguous","Consistent",328
"3","Native","Native 1",39,"disamb","fp","disamb fp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"5","Native","Native 1",26,"disamb","fp","disamb fp",6,0,336,336,"Unambiguous","Consistent",336
"7","Native","Native 1",34,"disamb","fp","disamb fp",6,1,0,NA,"Unambiguous","Consistent",NA
"9","Native","Native 1",46,"disamb","fp","disamb fp",6,1,0,NA,"Unambiguous","Consistent",NA
"11","Native","Native 1",29,"disamb","fp","disamb fp",5,1,0,NA,"Ambiguous","Consistent",NA
"13","Native","Native 1",36,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"15","Native","Native 1",30,"disamb","fp","disamb fp",6,1,0,NA,"Unambiguous","Consistent",NA
"17","Native","Native 1",40,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"19","Native","Native 1",33,"disamb","fp","disamb fp",5,1,0,NA,"Ambiguous","Consistent",NA
"21","Native","Native 1",43,"disamb","fp","disamb fp",7,0,311,311,"Ambiguous","Inconsistent",311
"23","Native","Native 1",28,"disamb","fp","disamb fp",8,0,375,375,"Unambiguous","Inconsistent",375
"25","Native","Native 1",31,"disamb","fp","disamb fp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"27","Native","Native 1",45,"disamb","fp","disamb fp",5,0,298,298,"Ambiguous","Consistent",298
"29","Native","Native 1",25,"disamb","fp","disamb fp",5,1,0,NA,"Ambiguous","Consistent",NA
"31","Native","Native 1",41,"disamb","fp","disamb fp",5,0,252,252,"Ambiguous","Consistent",252
"33","Native","Native 1",42,"disamb","fp","disamb fp",6,0,682,682,"Unambiguous","Consistent",682
"35","Native","Native 1",37,"disamb","fp","disamb fp",5,0,253,253,"Ambiguous","Consistent",253
"37","Native","Native 1",32,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"39","Native","Native 1",48,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"41","Native","Native 1",47,"disamb","fp","disamb fp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"43","Native","Native 1",44,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"45","Native","Native 1",27,"disamb","fp","disamb fp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"47","Native","Native 1",35,"disamb","fp","disamb fp",7,0,201,201,"Ambiguous","Inconsistent",201
"49","Native","Native 2",46,"disamb","fp","disamb fp",7,0,159,159,"Ambiguous","Inconsistent",159
"51","Native","Native 2",25,"disamb","fp","disamb fp",6,1,0,NA,"Unambiguous","Consistent",NA
"53","Native","Native 2",39,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"55","Native","Native 2",38,"disamb","fp","disamb fp",7,0,329,329,"Ambiguous","Inconsistent",329
"57","Native","Native 2",30,"disamb","fp","disamb fp",7,0,576,576,"Ambiguous","Inconsistent",576
"59","Native","Native 2",27,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"61","Native","Native 2",29,"disamb","fp","disamb fp",6,0,506,506,"Unambiguous","Consistent",506
"63","Native","Native 2",33,"disamb","fp","disamb fp",6,1,0,NA,"Unambiguous","Consistent",NA
