"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"23042","Native","Native 1",24,"disamb","tt","disamb tt",4,0,188,188,"Unambiguous","Mismatch",188
"23044","Native","Native 1",12,"disamb","tt","disamb tt",4,0,751,751,"Unambiguous","Mismatch",751
"23046","Native","Native 1",6,"disamb","tt","disamb tt",2,0,1373,1373,"Ambiguous","Mismatch",1373
"23048","Native","Native 1",7,"disamb","tt","disamb tt",3,0,562,562,"Unambiguous","Match",562
"23050","Native","Native 1",14,"disamb","tt","disamb tt",2,0,606,606,"Ambiguous","Mismatch",606
"23052","Native","Native 1",21,"disamb","tt","disamb tt",1,0,790,790,"Ambiguous","Match",790
"23054","Native","Native 1",19,"disamb","tt","disamb tt",3,1,0,NA,"Unambiguous","Match",NA
"23056","Native","Native 1",17,"disamb","tt","disamb tt",1,0,251,251,"Ambiguous","Match",251
"23058","Native","Native 1",10,"disamb","tt","disamb tt",2,0,712,712,"Ambiguous","Mismatch",712
"23060","Native","Native 1",23,"disamb","tt","disamb tt",3,0,674,674,"Unambiguous","Match",674
"23062","Native","Native 1",15,"disamb","tt","disamb tt",3,0,348,348,"Unambiguous","Match",348
"23064","Native","Native 1",1,"disamb","tt","disamb tt",1,0,201,201,"Ambiguous","Match",201
"23066","Native","Native 1",2,"disamb","tt","disamb tt",2,0,276,276,"Ambiguous","Mismatch",276
"23068","Native","Native 1",5,"disamb","tt","disamb tt",1,0,347,347,"Ambiguous","Match",347
"23070","Native","Native 1",16,"disamb","tt","disamb tt",4,0,518,518,"Unambiguous","Mismatch",518
"23072","Native","Native 1",3,"disamb","tt","disamb tt",3,0,1043,1043,"Unambiguous","Match",1043
"23074","Native","Native 1",13,"disamb","tt","disamb tt",1,0,356,356,"Ambiguous","Match",356
"23076","Native","Native 1",11,"disamb","tt","disamb tt",3,0,451,451,"Unambiguous","Match",451
"23078","Native","Native 1",9,"disamb","tt","disamb tt",1,0,335,335,"Ambiguous","Match",335
"23080","Native","Native 1",8,"disamb","tt","disamb tt",4,0,424,424,"Unambiguous","Mismatch",424
"23082","Native","Native 1",4,"disamb","tt","disamb tt",4,0,253,253,"Unambiguous","Mismatch",253
"23084","Native","Native 1",20,"disamb","tt","disamb tt",4,0,696,696,"Unambiguous","Mismatch",696
"23086","Native","Native 1",18,"disamb","tt","disamb tt",2,0,234,234,"Ambiguous","Mismatch",234
"23088","Native","Native 1",22,"disamb","tt","disamb tt",2,0,560,560,"Ambiguous","Mismatch",560
