"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"1921","Native","Native 1",38,"spillover1","fp","spillover1 fp",6,0,790,790,"Unambiguous","Consistent",790
"1923","Native","Native 1",39,"spillover1","fp","spillover1 fp",7,0,232,232,"Ambiguous","Inconsistent",232
"1925","Native","Native 1",26,"spillover1","fp","spillover1 fp",6,0,558,558,"Unambiguous","Consistent",558
"1927","Native","Native 1",34,"spillover1","fp","spillover1 fp",6,0,172,172,"Unambiguous","Consistent",172
"1929","Native","Native 1",46,"spillover1","fp","spillover1 fp",6,0,176,176,"Unambiguous","Consistent",176
"1931","Native","Native 1",29,"spillover1","fp","spillover1 fp",5,0,171,171,"Ambiguous","Consistent",171
"1933","Native","Native 1",36,"spillover1","fp","spillover1 fp",8,0,467,467,"Unambiguous","Inconsistent",467
"1935","Native","Native 1",30,"spillover1","fp","spillover1 fp",6,0,200,200,"Unambiguous","Consistent",200
"1937","Native","Native 1",40,"spillover1","fp","spillover1 fp",8,0,173,173,"Unambiguous","Inconsistent",173
"1939","Native","Native 1",33,"spillover1","fp","spillover1 fp",5,0,222,222,"Ambiguous","Consistent",222
"1941","Native","Native 1",43,"spillover1","fp","spillover1 fp",7,0,1260,1260,"Ambiguous","Inconsistent",1260
"1943","Native","Native 1",28,"spillover1","fp","spillover1 fp",8,0,821,821,"Unambiguous","Inconsistent",821
"1945","Native","Native 1",31,"spillover1","fp","spillover1 fp",7,0,161,161,"Ambiguous","Inconsistent",161
"1947","Native","Native 1",45,"spillover1","fp","spillover1 fp",5,0,831,831,"Ambiguous","Consistent",831
"1949","Native","Native 1",25,"spillover1","fp","spillover1 fp",5,0,172,172,"Ambiguous","Consistent",172
"1951","Native","Native 1",41,"spillover1","fp","spillover1 fp",5,0,336,336,"Ambiguous","Consistent",336
"1953","Native","Native 1",42,"spillover1","fp","spillover1 fp",6,0,297,297,"Unambiguous","Consistent",297
"1955","Native","Native 1",37,"spillover1","fp","spillover1 fp",5,0,963,963,"Ambiguous","Consistent",963
"1957","Native","Native 1",32,"spillover1","fp","spillover1 fp",8,0,415,415,"Unambiguous","Inconsistent",415
"1959","Native","Native 1",48,"spillover1","fp","spillover1 fp",8,0,214,214,"Unambiguous","Inconsistent",214
"1961","Native","Native 1",47,"spillover1","fp","spillover1 fp",7,0,201,201,"Ambiguous","Inconsistent",201
"1963","Native","Native 1",44,"spillover1","fp","spillover1 fp",8,0,237,237,"Unambiguous","Inconsistent",237
"1965","Native","Native 1",27,"spillover1","fp","spillover1 fp",7,0,203,203,"Ambiguous","Inconsistent",203
"1967","Native","Native 1",35,"spillover1","fp","spillover1 fp",7,0,337,337,"Ambiguous","Inconsistent",337
"1969","Native","Native 2",46,"spillover1","fp","spillover1 fp",7,0,214,214,"Ambiguous","Inconsistent",214
"1971","Native","Native 2",25,"spillover1","fp","spillover1 fp",6,0,107,107,"Unambiguous","Consistent",107
"1973","Native","Native 2",39,"spillover1","fp","spillover1 fp",8,0,178,178,"Unambiguous","Inconsistent",178
"1975","Native","Native 2",38,"spillover1","fp","spillover1 fp",7,0,1038,1038,"Ambiguous","Inconsistent",1038
"1977","Native","Native 2",30,"spillover1","fp","spillover1 fp",7,0,437,437,"Ambiguous","Inconsistent",437
"1979","Native","Native 2",27,"spillover1","fp","spillover1 fp",8,0,250,250,"Unambiguous","Inconsistent",250
"1981","Native","Native 2",29,"spillover1","fp","spillover1 fp",6,0,152,152,"Unambiguous","Consistent",152
"1983","Native","Native 2",33,"spillover1","fp","spillover1 fp",6,0,295,295,"Unambiguous","Consistent",295
"1985","Native","Native 2",32,"spillover1","fp","spillover1 fp",5,0,823,823,"Ambiguous","Consistent",823
"1987","Native","Native 2",43,"spillover1","fp","spillover1 fp",8,0,545,545,"Unambiguous","Inconsistent",545
"1989","Native","Native 2",45,"spillover1","fp","spillover1 fp",6,0,162,162,"Unambiguous","Consistent",162
"1991","Native","Native 2",48,"spillover1","fp","spillover1 fp",5,0,225,225,"Ambiguous","Consistent",225
"1993","Native","Native 2",47,"spillover1","fp","spillover1 fp",8,0,308,308,"Unambiguous","Inconsistent",308
"1995","Native","Native 2",31,"spillover1","fp","spillover1 fp",8,0,179,179,"Unambiguous","Inconsistent",179
"1997","Native","Native 2",26,"spillover1","fp","spillover1 fp",7,0,160,160,"Ambiguous","Inconsistent",160
"1999","Native","Native 2",42,"spillover1","fp","spillover1 fp",7,0,198,198,"Ambiguous","Inconsistent",198
"2001","Native","Native 2",36,"spillover1","fp","spillover1 fp",5,0,174,174,"Ambiguous","Consistent",174
"2003","Native","Native 2",35,"spillover1","fp","spillover1 fp",8,0,130,130,"Unambiguous","Inconsistent",130
"2005","Native","Native 2",44,"spillover1","fp","spillover1 fp",5,0,134,134,"Ambiguous","Consistent",134
"2007","Native","Native 2",41,"spillover1","fp","spillover1 fp",6,0,437,437,"Unambiguous","Consistent",437
"2009","Native","Native 2",37,"spillover1","fp","spillover1 fp",6,0,338,338,"Unambiguous","Consistent",338
"2011","Native","Native 2",40,"spillover1","fp","spillover1 fp",5,0,256,256,"Ambiguous","Consistent",256
"2013","Native","Native 2",28,"spillover1","fp","spillover1 fp",5,0,363,363,"Ambiguous","Consistent",363
"2015","Native","Native 2",34,"spillover1","fp","spillover1 fp",7,0,200,200,"Ambiguous","Inconsistent",200
"2018","Native","Native 3",34,"spillover1","fp","spillover1 fp",8,0,335,335,"Unambiguous","Inconsistent",335
"2020","Native","Native 3",30,"spillover1","fp","spillover1 fp",8,0,1135,1135,"Unambiguous","Inconsistent",1135
"2022","Native","Native 3",38,"spillover1","fp","spillover1 fp",8,0,225,225,"Unambiguous","Inconsistent",225
"2024","Native","Native 3",43,"spillover1","fp","spillover1 fp",5,0,1929,1929,"Ambiguous","Consistent",1929
"2026","Native","Native 3",47,"spillover1","fp","spillover1 fp",5,0,1034,1034,"Ambiguous","Consistent",1034
"2028","Native","Native 3",25,"spillover1","fp","spillover1 fp",7,0,2200,2200,"Ambiguous","Inconsistent",2200
"2030","Native","Native 3",37,"spillover1","fp","spillover1 fp",7,0,128,128,"Ambiguous","Inconsistent",128
"2032","Native","Native 3",40,"spillover1","fp","spillover1 fp",6,0,153,153,"Unambiguous","Consistent",153
"2034","Native","Native 3",42,"spillover1","fp","spillover1 fp",8,0,149,149,"Unambiguous","Inconsistent",149
"2036","Native","Native 3",33,"spillover1","fp","spillover1 fp",7,0,566,566,"Ambiguous","Inconsistent",566
"2038","Native","Native 3",39,"spillover1","fp","spillover1 fp",5,0,139,139,"Ambiguous","Consistent",139
"2040","Native","Native 3",41,"spillover1","fp","spillover1 fp",7,0,1097,1097,"Ambiguous","Inconsistent",1097
"2042","Native","Native 3",27,"spillover1","fp","spillover1 fp",5,0,94,94,"Ambiguous","Consistent",94
"2044","Native","Native 3",29,"spillover1","fp","spillover1 fp",7,0,117,117,"Ambiguous","Inconsistent",117
"2046","Native","Native 3",46,"spillover1","fp","spillover1 fp",8,0,617,617,"Unambiguous","Inconsistent",617
"2048","Native","Native 3",28,"spillover1","fp","spillover1 fp",6,0,141,141,"Unambiguous","Consistent",141
"2050","Native","Native 3",35,"spillover1","fp","spillover1 fp",5,0,787,787,"Ambiguous","Consistent",787
"2052","Native","Native 3",45,"spillover1","fp","spillover1 fp",7,0,237,237,"Ambiguous","Inconsistent",237
"2054","Native","Native 3",32,"spillover1","fp","spillover1 fp",6,0,1516,1516,"Unambiguous","Consistent",1516
"2056","Native","Native 3",26,"spillover1","fp","spillover1 fp",8,0,169,169,"Unambiguous","Inconsistent",169
"2058","Native","Native 3",36,"spillover1","fp","spillover1 fp",6,0,431,431,"Unambiguous","Consistent",431
"2060","Native","Native 3",31,"spillover1","fp","spillover1 fp",5,0,724,724,"Ambiguous","Consistent",724
"2062","Native","Native 3",48,"spillover1","fp","spillover1 fp",6,0,918,918,"Unambiguous","Consistent",918
"2064","Native","Native 3",44,"spillover1","fp","spillover1 fp",6,0,159,159,"Unambiguous","Consistent",159
"2066","Native","Native 4",43,"spillover1","fp","spillover1 fp",6,0,389,389,"Unambiguous","Consistent",389
"2068","Native","Native 4",33,"spillover1","fp","spillover1 fp",8,0,292,292,"Unambiguous","Inconsistent",292
"2070","Native","Native 4",29,"spillover1","fp","spillover1 fp",8,0,378,378,"Unambiguous","Inconsistent",378
"2072","Native","Native 4",41,"spillover1","fp","spillover1 fp",8,0,335,335,"Unambiguous","Inconsistent",335
"2074","Native","Native 4",26,"spillover1","fp","spillover1 fp",5,0,608,608,"Ambiguous","Consistent",608
"2076","Native","Native 4",28,"spillover1","fp","spillover1 fp",7,0,335,335,"Ambiguous","Inconsistent",335
"2078","Native","Native 4",25,"spillover1","fp","spillover1 fp",8,0,393,393,"Unambiguous","Inconsistent",393
"2080","Native","Native 4",34,"spillover1","fp","spillover1 fp",5,0,320,320,"Ambiguous","Consistent",320
"2082","Native","Native 4",38,"spillover1","fp","spillover1 fp",5,0,653,653,"Ambiguous","Consistent",653
"2084","Native","Native 4",30,"spillover1","fp","spillover1 fp",5,0,469,469,"Ambiguous","Consistent",469
"2086","Native","Native 4",48,"spillover1","fp","spillover1 fp",7,0,222,222,"Ambiguous","Inconsistent",222
"2088","Native","Native 4",27,"spillover1","fp","spillover1 fp",6,0,385,385,"Unambiguous","Consistent",385
"2090","Native","Native 4",35,"spillover1","fp","spillover1 fp",6,0,313,313,"Unambiguous","Consistent",313
"2092","Native","Native 4",45,"spillover1","fp","spillover1 fp",8,0,328,328,"Unambiguous","Inconsistent",328
"2094","Native","Native 4",42,"spillover1","fp","spillover1 fp",5,0,257,257,"Ambiguous","Consistent",257
"2096","Native","Native 4",47,"spillover1","fp","spillover1 fp",6,0,371,371,"Unambiguous","Consistent",371
"2098","Native","Native 4",39,"spillover1","fp","spillover1 fp",6,0,506,506,"Unambiguous","Consistent",506
